user_want_reliability,user_want_warmth,user_want_intelligence,user_want_creativity,user_want_honesty,user_want_helpfulness,user_want_responsiveness,system_want_clarity,system_want_structure,system_want_efficiency,system_want_feedback,system_want_boundaries,system_want_patience,tension_expectation_violation,tension_disappointment,tension_loss,tension_change_resistance,tension_anthropomorphism,tension_relationship_terms,sentence_count,word_count,avg_sentence_length,readability_flesch,readability_grade,question_marks,exclamation_marks,capitalization_ratio,dep_nsubj,dep_dobj,dep_pobj,emotional_adjectives,modal_verbs,index,entity_PERSON,entity_ORG,entity_PRODUCT
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,10,148,14.8,71.07727272727276,6.078181818181818,1,0,0.023923444976076555,18.0,10.0,4.0,4.0,4.0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,20.5,72.16022727272728,7.293484848484848,0,0,0.02717391304347826,4.0,3.0,1.0,1.0,,1,1.0,,
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,94,18.8,70.04,7.465,0,0,0.027586206896551724,10.0,1.0,7.0,3.0,1.0,2,,,
0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,13,230,17.692307692307693,60.31559654631084,8.59204081632653,0,0,0.03297682709447415,27.0,16.0,12.0,10.0,4.0,3,2.0,1.0,
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,4,82,20.5,72.4208390410959,7.691883561643834,0,0,0.04736842105263158,11.0,5.0,5.0,1.0,,4,1.0,,
0,1,0,0,0,1,1,5,1,0,0,1,0,1,0,1,0,1,0,32,763,23.84375,53.283860192155316,10.725986034072903,0,4,0.02631578947368421,57.0,58.0,40.0,39.0,11.0,5,2.0,2.0,
0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,15,299,19.933333333333334,58.75906355382622,9.32001556420234,0,0,0.01171605789110958,32.0,22.0,14.0,11.0,5.0,6,1.0,,
0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,19,600,31.57894736842105,69.66085103649135,7.833195991091316,0,0,0.026806526806526808,72.0,41.0,23.0,20.0,11.0,7,,3.0,
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,117,19.5,64.29818181818186,7.804502164502164,1,0,0.019784172661870502,14.0,4.0,10.0,2.0,,8,1.0,,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,190,15.833333333333334,93.43083333333337,2.8775000000000013,1,0,0.025510204081632654,27.0,17.0,11.0,9.0,1.0,9,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,11.0,52.86500000000001,8.370000000000001,0,0,0.09821428571428571,3.0,,2.0,2.0,,10,1.0,2.0,
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,8,137,17.125,74.49742258652097,6.2360109289617505,0,0,0.0218408736349454,16.0,8.0,3.0,8.0,1.0,11,,2.0,
